overall,season,wikiUrl,title,airdates,ytId,ytLike,ytView
165,S05E35,/wiki/Playing_with_Dough,Playing with Dough,15 May 1998,bZW8RPe8ny4,3261,1878718
166,S05E36,/wiki/Kite_Flying,Kite Flying,18 May 1998,cKU3TJXdGZw,366,335792
167,S05E37,/wiki/Ballet_Rhymes,Ballet Rhymes: 3 Blind Mice,19 May 1998,m33EAzxKljE,891,858096
168,S05E38,/wiki/Numbers_-_4_(Version_2),Numbers: 4 (Version 2),20 May 1998,rQqzOZkUTJo,757,547695
169,S05E39,/wiki/Haircut,Haircut,21 May 1998,B1MF3NFQVTk,224,199807
170,S05E40,/wiki/Carnival_2,Carnival (2),22 May 1998,13MeM5pg29Q,4994,3763853
171,S06E01,/wiki/Tennis,Tennis,22 June 1998,h4GAJqDqR0Q,662,530546
172,S06E02,/wiki/Cows_and_Calves,Cows and Calves,23 June 1998,hvFwFmxeld8,713,515479
173,S06E03,/wiki/The_Pier,The Pier,24 June 1998,qaB2CcuHqSA,444,380616
174,S06E04,/wiki/Becky%27s_Flake_Cakes,Becky's Flake Cakes,25 June 1998,zKUTw1Yau1w,985,752311
175,S06E05,/wiki/Hand_Painting,Hand Painting,26 June 1998,pm3GB39GzBo,427,238886
176,S06E06,/wiki/Mark_and_Topus,Mark and Topus,29 June 1998,6_L5cAWU7L0,924,510795
177,S06E07,/wiki/Numbers_-_10,Numbers: 10,30 June 1998,yxcAc8fhyGs,838,814219
178,S06E08,/wiki/Washing_the_Elephant,Washing the Elephant,1 July 1998,rlvUvjysGlo,3028,3286649
179,S06E09,/wiki/Windmill,Windmill,2 July 1998,f0uXwy5uPyE,913,756739
180,S06E10,/wiki/Putting_Angus_to_Bed,Putting Angus to Bed,3 July 1998,jDVeUfEbTR4,610,555050
181,S06E11,/wiki/Hair_Braiding,Hair Braiding,6 July 1998,Q47jP1P4RnM,1269,821199
182,S06E12,/wiki/Kittens,Kittens,7 July 1998,kPapXSMmw28,2519,2384669
183,S06E13,/wiki/Funny_Walks,Funny Walks,8 July 1998,ZqFbf-1wHSk,352,247785
184,S06E14,/wiki/Jigsaw_-_Rabbit,Jigsaw: Rabbit,9 July 1998,XLilvMIqZhU,1663,968003
185,S06E15,/wiki/My_Violin,My Violin,10 July 1998,l3C8R_FqAjU,1155,1079318
186,S06E16,/wiki/Boys_and_Eggs,Boys and Eggs,13 July 1998,U0kKqJImUmk,682,451871
187,S06E17,/wiki/Hovercraft,Hovercraft,14 July 1998,qo3yQWsnG0o,381,358415
188,S06E18,/wiki/Robin,Robin,15 July 1998,P1f2OdGspRA,224,171628
189,S06E19,/wiki/Feeding_My_Baby_Sister,Feeding My Baby Sister,16 July 1998,VwbtzWh6Z4c,735,550892
190,S06E20,/wiki/Long_Horns,Long Horns,17 July 1998,JU3qXMXfT3U,498,405879
191,S07E01,/wiki/Colours_-_Purple,Colours: Purple,31 August 1998,f9x5g3zDhvk,1055,881071
192,S07E02,/wiki/Ballet_Rhymes_(Jack-in-the-Box),Ballet Rhymes: Jack-in-the-Box,1 September 1998,b-UrJ42cNDI,1272,1091077
193,S07E03,/wiki/Spiders,Spiders,2 September 1998,k0ydMwHrfyk,2318,1921218
194,S07E04,/wiki/Blackberry_Picking,Blackberry Picking,3 September 1998,3xhTzkxeV5A,509,316901
195,S07E05,/wiki/Fancy_Dress,Fancy Dress,4 September 1998,9tXmvfRhetw,217,171736
196,S07E06,/wiki/Numbers_-_5_(Version_3),Numbers: 5 (Version 3),7 September 1998,9l2mYD5PK6w,2095,2063746
197,S07E07,/wiki/Rebecca%27s_Dogs,Rebecca's Dogs,8 September 1998,a-8ZhRAGjGE,6901,4767658
198,S07E08,/wiki/Clogs,Clogs,9 September 1998,-SRYLUeRIo8,607,546757
199,S07E09,/wiki/Cuddles_Gets_Lost,Cuddles Gets Lost,10 September 1998,Mk6laACdLlI,421,340553
200,S07E10,/wiki/Squeezy_Painting,Squeezy Painting,11 September 1998,HW_TKvjpqpc,340,279564
201,S07E11,/wiki/Woodlice,Woodlice,14 September 1998,IMPd_jvO0HA,285,279065
202,S07E12,/wiki/Land_Yachting,Land Yachting,15 September 1998,6mE0FqyqVag,972,750481
203,S07E13,/wiki/Tropical_Fish,Tropical Fish,16 September 1998,tz6OEEx3QGw,408,311111
204,S07E14,/wiki/My_Piano,My Piano,17 September 1998,tYGoTrpcq6w,537,479140
205,S07E15,/wiki/Twirlers,Twirlers,18 September 1998,AExdqDTWswY,794,698918
206,S07E16,/wiki/The_Very_Proud_Crown,The Very Proud Crown,21 September 1998,WweUcwpZESU,700,693272
207,S07E17,/wiki/Boom_Boom_Dance,Boom Boom Dance,22 September 1998,z43fyiOsXC0,1301,687679
208,S07E18,/wiki/Peacocks,Peacocks,23 September 1998,mXtD3gPJgJU,578,576397
209,S07E19,/wiki/Numbers_-_6_(Version_2),Numbers: 6 (Version 2),24 September 1998,XEFzBWIYJ54,809,534020
210,S07E20,/wiki/Basketball,Basketball,25 September 1998,rW2WxOWEk7U,294,257742
211,S07E21,/wiki/Rangoli,Rangoli,28 September 1998,PJ4rTOT0c8A,693,547966
212,S07E22,/wiki/Frogs,Frogs,29 September 1998,H6Y-Mp1vC4s,520,426351
213,S07E23,/wiki/Old_King_Cole,Old King Cole,30 September 1998,zYG8KGSeol8,1295,772694
214,S07E24,/wiki/Jigsaw_-_Elephant,Jigsaw: Elephant,1 October 1998,Ewj86pVIDP8,649,561589
215,S07E25,/wiki/Naughty_Soap,Naughty Soap,2 October 1998,VezJxYdjiZU,1418,1155671
216,S07E26,/wiki/Dad%27s_Portrait,Dad's Portrait,5 October 1998,mPqSnFrrhcw,426,415399
217,S07E27,/wiki/Colours_-_Orange,Colours: Orange,6 October 1998,PQ-8SK4gCMc,814,770585
218,S07E28,/wiki/Piglets,Piglets,7 October 1998,joVd2EXIkms,1117,968595
219,S07E29,/wiki/Water,Water,8 October 1998,aggfLc_FLyM,1442,1206904
220,S07E30,/wiki/Wrapping,Wrapping,9 October 1998,ZixHP8ni95g,466,398390
221,S07E31,/wiki/Making_Bread,Making Bread,12 October 1998,d5lb1OCN64Y,618,572796
222,S07E32,/wiki/Ice_Lollies,Ice Lollies,13 October 1998,EB3iUJCSNe8,983,852121
223,S07E33,/wiki/Orange_Picking,Orange Picking,14 October 1998,kHOtdqrV0ww,820,635341
224,S07E34,/wiki/Double_Bass,Double Bass,15 October 1998,UaH7xzaEIlk,746,525949
225,S07E35,/wiki/Numbers_-_7,Numbers: 7,16 October 1998,E2eJ0QYMB2A,16050,6332349
226,S07E36,/wiki/Sparkly_Spider,Sparkly Spider,19 October 1998,C0aYwJV4ppg,856,651711
227,S07E37,/wiki/Cat%27s_Night_Out,Cat's Night Out,20 October 1998,JhJC10VIJL0,1515,1541018
228,S07E38,/wiki/Chicks,Chicks,21 October 1998,3sBwk-b_7rA,546,387333
229,S07E39,/wiki/Body_to_Body,Body to Body,22 October 1998,9D4S-lJ1GpE,650,605151
230,S07E40,/wiki/Camping,Camping,23 October 1998,3oCZGWurkDc,1234,980783
231,S08E01,/wiki/Colours_-_Black,Colours: Black,14 December 1998,2M_d6SB43ic,1323,1308276
232,S08E02,/wiki/Pebbles,Pebbles,15 December 1998,uTASsa_pGwU,647,510579
233,S08E03,/wiki/Otters,Otters,16 December 1998,qCutXX28A5c,569,419688
234,S08E04,/wiki/Decorating_Boxes,Decorating Boxes,17 December 1998,e3juvZAPi78,664,578932
235,S08E05,/wiki/Kathak_Dancing,Kathak Dancing,18 December 1998,qIeU-NXclm8,893,660650
236,S08E06,/wiki/Christmas_in_South_Africa,Christmas in South Africa,21 December 1998,0GFJgM22jMs,526,348566
237,S08E07,/wiki/Christmas_in_Finland,Christmas in Finland,22 December 1998,4NED9DDjiT8,2501,2120254
238,S08E08,/wiki/Christmas_in_the_UK,Christmas in the UK: Christmas Gospel Singing,23 December 1998,kl147MUlmVk,3450,2721176
239,S08E09,/wiki/Christmas_in_Spain,Christmas in Spain,24 December 1998,dMZ6oe0OMIQ,1186,1090838
240,S08E10,/wiki/Nativity_Play,Christmas in the UK: Nativity Play,25 December 1998,JCf3FTNrX9A,1399,1489766
241,S08E11,/wiki/Towers,Towers,28 December 1998,Y8jEbtfP_f8,493,403515
242,S08E12,/wiki/Oranges_and_Lemons,Oranges and Lemons,29 December 1998,BPE7Nmi-lPQ,1627,1057659
243,S08E13,/wiki/Feeding_Baby_Penguins,Feeding Baby Penguins,30 December 1998,AyuhXpk0vIs,748,601426
244,S08E14,/wiki/Trickle_Painting,Trickle Painting,31 December 1998,27uK4kOg45I,484,370729
245,S08E15,/wiki/Catherine%27s_Toy_Farm,Catherine's Toy Farm,1 January 1999,2aS2Oq1fWmw,5968,3998514
246,S08E16,/wiki/Ten_Little_Men_Finger_Play,Ten Little Men Finger Play,4 January 1999,LxYS8KOudkc,597,484299
247,S08E17,/wiki/Harp,Harp,5 January 1999,W-NTw4bHxh0,783,773714
248,S08E18,/wiki/Hermit_Crabs,Hermit Crabs,6 January 1999,_wOOUZfv6MI,508,378115
249,S08E19,/wiki/Making_Mosaics,Making Mosaics,7 January 1999,EaiQ1IB3U24,232,158864
250,S08E20,/wiki/Ball_Games_with_Debbie,Ball Games with Debbie,8 January 1999,dDYM9jjmKOM,1941,1735311
